site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
c6,5,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,25.2,m,r,,,,,,cloa,,,,,,,,
c6,6,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,21.8,m,r,,,,,,u,,,,,,,,
c6,7,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,27.1,f,r,,,,,,euha,,,,,,,,
c6,8,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,25.5,f,n,,,,,,u,,,,,,,,
c6,9,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,24.9,m,r,,,,,,euha,,,,,,,,
c6,10,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,23.8,m,r,,,,,,cloa,,,,,,,,
c6,11,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,31.5,m,r,,,,,,euha,,,,,,,,
c6,12,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,25.4,f,r,,,,,,u,,,,,,,,
c6,13,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS/RH,"AW, TS, (RH)",b,27.1,f,n,,,,,,u,,,,,,,,
c6,14,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,33.3,f,r,,,,,,euha,,,,,,,,
c6,15,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,27.1,f,n,,,,,,u,,,,,,,,
c6,16,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,27.2,f,n,,,,,,euha,,,,,,,,
c6,17,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS/RH,"AW, TS, (RH)",e,17.3,f,n,,,y,,,hima?,,,y,,,,,"very questionable,  2 red, 1 larger, 1 very elongate with collar and posterior appendages this is only reason suspect HIMA or HIMB;go for HIMA because 0 in aorta"
c6,18,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,28.4,f,n,,,,,,euha,,,,,,,,
c6,19,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,29.6,m,r,,,,,,paro,,,,n,0,0,0,
c6,20,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,24.4,f,r,,,,,,euha,,,,,,,,
c6,21,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,29.4,f,r,,,,,,euha,,,,,,,,
